"source","name","source_kind","intake_class","lane","distinct_value","animill_port","consumer","offline_contract","provenance_rights","proof","status","terminal_reason"
"https://delulustream.com/join/B8H7QXAW","delulustream.com","external-reference","unclassified","unassigned","","","","","","","queued",""
"https://fish.audio/?aff=N663WYB3OUL3Q","fish.audio","external-reference","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/ACE-Step-1.5","ACE-Step-1.5","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/ACE-Step-DAW","ACE-Step-DAW","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/ace-step-skills","ace-step-skills","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/ace-step-ui","ace-step-ui","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/Agent-Reach","Agent-Reach","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/agent-skills","agent-skills","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/ai-video-generator-claude","ai-video-generator-claude","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/arxiv-sanity-preserver","arxiv-sanity-preserver","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/Audio-Effects","Audio-Effects","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/AudioGPT","AudioGPT","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/Automated-Youtube-Music-Generation","Automated-Youtube-Music-Generation","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/automaton","automaton","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/awesome-nano-banana-pro-prompts","awesome-nano-banana-pro-prompts","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/awesome-public-datasets","awesome-public-datasets","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/awesome-seedance-2-prompts","awesome-seedance-2-prompts","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/awesome-talking-head-generation","awesome-talking-head-generation","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/browser","browser","repository","functional-nerve","acquire","Public-page inspection with attributable text and media extraction","ANIMILL sources/assets canonical state","Prompt generators; asset desk; rights report; render and production adapters","Local ANIMILL state and bounded HTTP inspector; public-page acquisition requires network; Lightpanda automation requires its local runtime","Source URL/runtime/time retained; rights remain unknown until cleared","Fresh source extraction plus browser save/restore, visible asset-desk context, linked block source ID and downstream source-manifest tests; npm test 23/23","integrated",""
"https://github.com/SB2020/build-your-own-x","build-your-own-x","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/cloudflare-os","cloudflare-os","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/ComfyUI-FL-AceStep-Training","ComfyUI-FL-AceStep-Training","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/edex-ui","edex-ui","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/encom-globe","encom-globe","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/EyeTracker","EyeTracker","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/facefusion","facefusion","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/FanFicFare","FanFicFare","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/feynman","feynman","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/Free-AI-Social-Media-Scheduler","Free-AI-Social-Media-Scheduler","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/Free-Security-eBooks","Free-Security-eBooks","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/FreeDomain","FreeDomain","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/fulivepc","fulivepc","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/fullstack-agent","fullstack-agent","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/gods-eye-view","gods-eye-view","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/gpt-image-2-prompt-gallery","gpt-image-2-prompt-gallery","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/gstack","gstack","repository","unclassified","unassigned","","","","","","","queued",""
"https://github.com/SB2020/headroom","headroom","repository","unclassified","unassigned","","","","","","","queued",""
